OBJECTID,HydroID,ReachCode,CSCode,JunctionID,ProfileM,ShpStacionaza,NetStacionaza
         1,         1,         1,Slozeni presek,         0,     0.000,     0.000,     0.000
         2,         2,         1,,         0,    90.000,     0.000,     0.000
         3,         3,         1,,         0,   180.000,     0.000,     0.000
         4,         4,         1,Slozeni presek,         0,   270.000,     0.000,     0.000
         5,         5,         1,,         0,   370.000,     0.000,     0.000
         6,         6,         1,,         0,   460.000,     0.000,     0.000
         7,         7,         1,,         0,   560.000,     0.000,     0.000
         8,         8,         1,,         0,   650.000,     0.000,     0.000
         9,         9,         1,,         0,   750.000,     0.000,     0.000
        10,        10,         1,,         0,   840.000,     0.000,     0.000
        11,        11,         1,,         0,   940.000,     0.000,     0.000
        12,        12,         1,Slozeni presek,         0,  1030.000,     0.000,     0.000
        13,        13,         1,,         0,  1130.000,     0.000,     0.000
        14,        14,         1,,         0,  1220.000,     0.000,     0.000
        15,        15,         1,,         0,  1310.000,     0.000,     0.000
        16,        16,         1,,         0,  1410.000,     0.000,     0.000
        17,        17,         1,,         0,  1500.000,     0.000,     0.000
        18,        18,         1,,         0,  1590.000,     0.000,     0.000
        19,        19,         1,,         0,  1680.000,     0.000,     0.000
        20,        20,         1,,         0,  1780.000,     0.000,     0.000
        21,        21,         1,,         0,  1870.000,     0.000,     0.000
        22,        22,         1,,         0,  1960.000,     0.000,     0.000
        23,        23,         1,Slozemi presek,         0,  2050.000,     0.000,     0.000
        24,        24,         1,,         0,  2150.000,     0.000,     0.000
        25,        25,         1,,         0,  2240.000,     0.000,     0.000
        26,        26,         1,,         0,  2330.000,     0.000,     0.000
        27,        27,         1,,         0,  2430.000,     0.000,     0.000
        28,        28,         1,,         0,  2520.000,     0.000,     0.000
        29,        29,         1,,         0,  2610.000,     0.000,     0.000
        30,        30,         1,,         0,  2700.000,     0.000,     0.000
        31,        31,         1,,         0,  2800.000,     0.000,     0.000
        32,        32,         1,,         0,  2890.000,     0.000,     0.000
        33,        33,         1,,         0,  2980.000,     0.000,     0.000
        34,        34,         1,00066 PA-40,         0,  3070.000,     0.000,     0.000
        35,        35,         1,,         0,  3170.000,     0.000,     0.000
        36,        36,         1,,         0,  3260.000,     0.000,     0.000
