OBJECTID,PointIndex,CrossM,Elevation,CS_HydroID
         1,         1,   368.000,    71.500,         1
         1,         2,   379.800,    69.590,         1
         1,         3,   394.540,    66.310,         1
         1,         4,   471.210,    61.200,         1
         1,         5,   559.500,    59.700,         1
         1,         6,   596.360,    58.880,         1
         1,         7,   621.280,    57.470,         1
         1,         8,   634.300,    57.350,         1
         1,         9,   646.400,    56.230,         1
         1,        10,   664.410,    55.460,         1
         1,        11,   686.070,    54.050,         1
         1,        12,   692.660,    54.180,         1
         1,        13,   712.380,    52.880,         1
         1,        14,   735.790,    52.190,         1
         1,        15,   752.950,    50.790,         1
         1,        16,   782.890,    50.330,         1
         1,        17,   797.050,    50.810,         1
         1,        18,   842.510,    51.090,         1
         1,        19,   886.670,    53.679,         1
         1,        20,   900.110,    55.410,         1
         1,        21,   903.170,    57.760,         1
         1,        22,   910.480,    60.230,         1
         1,        23,   932.050,    65.620,         1
         1,        24,   936.130,    69.260,         1
         1,        25,   945.700,    71.200,         1
         2,         1,   376.889,    71.521,         2
         2,         2,   388.371,    69.720,         2
         2,         3,   389.198,    69.501,         2
         2,         4,   389.372,    69.473,         2
         2,         5,   395.548,    68.162,         2
         2,         6,   403.705,    66.310,         2
         2,         7,   404.966,    66.065,         2
         2,         8,   430.452,    64.456,         2
         2,         9,   452.505,    63.232,         2
         2,        10,   459.897,    62.759,         2
         2,        11,   486.076,    61.338,         2
         2,        12,   489.878,    61.290,         2
         2,        13,   506.819,    61.026,         2
         2,        14,   523.294,    60.814,         2
         2,        15,   563.637,    60.183,         2
         2,        16,   579.479,    59.915,         2
         2,        17,   582.824,    59.844,         2
         2,        18,   591.837,    59.616,         2
         2,        19,   618.473,    59.049,         2
         2,        20,   623.779,    58.783,         2
         2,        21,   634.176,    58.192,         2
         2,        22,   644.837,    57.673,         2
         2,        23,   648.843,    57.638,         2
         2,        24,   649.420,    57.581,         2
         2,        25,   658.611,    57.467,         2
         2,        26,   671.411,    56.413,         2
         2,        27,   688.073,    55.737,         2
         2,        28,   690.464,    55.649,         2
         2,        29,   701.704,    55.026,         2
         2,        30,   705.244,    54.785,         2
         2,        31,   713.379,    54.315,         2
         2,        32,   720.223,    54.408,         2
         2,        33,   720.350,    54.410,         2
         2,        34,   741.212,    53.246,         2
         2,        35,   741.636,    53.235,         2
         2,        36,   753.758,    52.956,         2
         2,        37,   765.978,    52.663,         2
         2,        38,   775.463,    52.021,         2
         2,        39,   784.132,    51.406,         2
         2,        40,   788.308,    51.342,         2
         2,        41,   794.476,    51.315,         2
         2,        42,   804.727,    51.125,         2
         2,        43,   815.806,    50.967,         2
         2,        44,   830.062,    51.424,         2
         2,        45,   836.802,    51.476,         2
         2,        46,   850.312,    51.703,         2
         2,        47,   853.500,    51.842,         2
         2,        48,   866.536,    51.965,         2
         2,        49,   875.831,    52.095,         2
         2,        50,   883.300,    52.546,         2
         2,        51,   914.068,    54.355,         2
         2,        52,   920.291,    54.749,         2
         2,        53,   926.990,    55.589,         2
         2,        54,   933.822,    56.468,         2
         2,        55,   936.903,    58.603,         2
         2,        56,   944.263,    60.908,         2
         2,        57,   952.502,    62.849,         2
         2,        58,   959.580,    64.636,         2
         2,        59,   965.979,    66.123,         2
         2,        60,   968.299,    67.977,         2
         2,        61,   970.087,    69.394,         2
         2,        62,   979.722,    71.166,         2
         3,         1,   385.778,    71.542,         3
         3,         2,   397.888,    69.696,         3
         3,         3,   398.761,    69.386,         3
         3,         4,   398.944,    69.357,         3
         3,         5,   405.458,    68.033,         3
         3,         6,   414.062,    66.045,         3
         3,         7,   415.392,    65.821,         3
         3,         8,   442.273,    64.208,         3
         3,         9,   465.533,    63.149,         3
         3,        10,   473.330,    62.669,         3
         3,        11,   500.942,    61.476,         3
         3,        12,   504.952,    61.441,         3
         3,        13,   522.820,    61.185,         3
         3,        14,   540.197,    61.026,         3
         3,        15,   582.749,    60.411,         3
         3,        16,   599.458,    60.131,         3
         3,        17,   602.986,    60.059,         3
         3,        18,   612.493,    59.791,         3
         3,        19,   640.587,    59.218,         3
         3,        20,   646.183,    58.970,         3
         3,        21,   657.149,    58.345,         3
         3,        22,   668.393,    57.877,         3
         3,        23,   672.619,    57.841,         3
         3,        24,   673.228,    57.732,         3
         3,        25,   682.921,    57.585,         3
         3,        26,   696.423,    56.595,         3
         3,        27,   713.996,    55.917,         3
         3,        28,   716.518,    55.839,         3
         3,        29,   728.373,    55.284,         3
         3,        30,   732.107,    55.019,         3
         3,        31,   740.687,    54.581,         3
         3,        32,   747.907,    54.638,         3
         3,        33,   748.040,    54.640,         3
         3,        34,   770.044,    53.611,         3
         3,        35,   770.492,    53.602,         3
         3,        36,   783.277,    53.381,         3
         3,        37,   796.166,    53.137,         3
         3,        38,   806.170,    52.583,         3
         3,        39,   815.313,    52.021,         3
         3,        40,   819.718,    51.954,         3
         3,        41,   826.224,    51.991,         3
         3,        42,   837.036,    51.760,         3
         3,        43,   848.721,    51.603,         3
         3,        44,   863.074,    52.039,         3
         3,        45,   869.859,    52.100,         3
         3,        46,   883.460,    52.473,         3
         3,        47,   886.670,    52.730,         3
         3,        48,   899.794,    52.897,         3
         3,        49,   909.152,    53.100,         3
         3,        50,   916.671,    53.566,         3
         3,        51,   947.647,    55.394,         3
         3,        52,   953.912,    55.820,         3
         3,        53,   960.656,    56.641,         3
         3,        54,   967.535,    57.525,         3
         3,        55,   970.636,    59.445,         3
         3,        56,   978.046,    61.586,         3
         3,        57,   986.341,    63.423,         3
         3,        58,   993.466,    65.240,         3
         3,        59,   999.909,    66.626,         3
         3,        60,  1002.244,    68.279,         3
         3,        61,  1004.044,    69.529,         3
         3,        62,  1013.744,    71.131,         3
         4,         1,   394.667,    71.563,         4
         4,         2,   407.406,    69.672,         4
         4,         3,   408.324,    69.271,         4
         4,         4,   408.517,    69.240,         4
         4,         5,   415.368,    67.904,         4
         4,         6,   424.419,    65.780,         4
         4,         7,   425.818,    65.576,         4
         4,         8,   454.094,    63.960,         4
         4,         9,   478.561,    63.067,         4
         4,        10,   486.763,    62.580,         4
         4,        11,   515.808,    61.614,         4
         4,        12,   520.026,    61.593,         4
         4,        13,   538.822,    61.345,         4
         4,        14,   557.101,    61.238,         4
         4,        15,   601.860,    60.640,         4
         4,        16,   619.437,    60.346,         4
         4,        17,   623.148,    60.273,         4
         4,        18,   633.148,    59.967,         4
         4,        19,   662.700,    59.388,         4
         4,        20,   668.587,    59.157,         4
         4,        21,   680.122,    58.497,         4
         4,        22,   691.950,    58.080,         4
         4,        23,   696.395,    58.043,         4
         4,        24,   697.035,    57.883,         4
         4,        25,   707.232,    57.702,         4
         4,        26,   721.434,    56.778,         4
         4,        27,   739.920,    56.098,         4
         4,        28,   742.573,    56.028,         4
         4,        29,   755.043,    55.542,         4
         4,        30,   758.970,    55.254,         4
         4,        31,   767.996,    54.846,         4
         4,        32,   775.590,    54.868,         4
         4,        33,   775.731,    54.870,         4
         4,        34,   798.877,    53.977,         4
         4,        35,   799.347,    53.969,         4
         4,        36,   812.796,    53.807,         4
         4,        37,   826.354,    53.610,         4
         4,        38,   836.877,    53.146,         4
         4,        39,   846.495,    52.637,         4
         4,        40,   851.128,    52.566,         4
         4,        41,   857.972,    52.667,         4
         4,        42,   869.345,    52.394,         4
         4,        43,   881.637,    52.240,         4
         4,        44,   896.085,    52.653,         4
